HTM *l 11/12,20.37,28/08/2026,Outros,Outros,Itaú,,Fatura_Itau_10_07.pdf
MERCADO*MERCAD 06/10,52.50,06/01/2026,Alimentação,Mercearia,Itaú,,Fatura_Itau_10_07.pdf
ACADEMIA SPART 06/12,167.57,12/01/2026,Saúde,Academia,Itaú,,Fatura_Itau_10_07.pdf
INSIDER COME*I 03/03,159.10,09/04/2026,Outros,Outros,Itaú,,Fatura_Itau_10_07.pdf
SHOPEE *MATEEL 03/03,94.83,09/04/2026,Outros,Outros,Itaú,,Fatura_Itau_10_07.pdf
MERCADOLIVRE*M 02/04,25.71,05/05/2026,Alimentação,Mercearia,Itaú,,Fatura_Itau_10_07.pdf
AMAZON BR *Amazon BRS,37.71,04/06/2026,Outros,Outros,Itaú,,Fatura_Itau_10_07.pdf
ATACADAO 732 ASSUZANOBR,968.87,04/06/2026,Alimentação,Mercearia,Itaú,,Fatura_Itau_10_07.pdf
FCCostaComercialITAQUAQ,108.00,05/06/2026,Outros,Outros,Itaú,,Fatura_Itau_10_07.pdf
PG *B. TRADER 01/12,129.70,10/06/2026,Outros,Outros,Itaú,,Fatura_Itau_10_07.pdf
MP *TEREZAPERFUMAOsasco,57.00,12/06/2026,Outros,Outros,Itaú,,Fatura_Itau_10_07.pdf
AmazonPrimeBRSAO PAULOB,19.90,14/06/2026,Outros,Outros,Itaú,,Fatura_Itau_10_07.pdf
Google YouTubePremiumSA,53.90,21/06/2026,Outros,Outros,Itaú,,Fatura_Itau_10_07.pdf
Mensalidade - Plano do,17.00,04/06/2026,Outros,Outros,Itaú,,Fatura_Itau_10_07.pdf
