Dl *Uberrides,13.78,27/05/2026,Transporte,Transp. Aplicativo,Nubank,,Nubank_2026-07-02.pdf
Mini Mercado Tres Irma,17.36,27/05/2026,Alimentação,Mercearia,Nubank,,Nubank_2026-07-02.pdf
Padarianova,3.00,27/05/2026,Alimentação,Padaria,Nubank,,Nubank_2026-07-02.pdf
Rdsaude Online,26.10,27/05/2026,Saúde,Remédios,Nubank,,Nubank_2026-07-02.pdf
Tech Vet,125.00,27/05/2026,Saúde,Outros,Nubank,,Nubank_2026-07-02.pdf
Silviasilvadeoliv,6.20,28/05/2026,Alimentação,Hortifruti,Nubank,,Nubank_2026-07-02.pdf
Casa de Carnes Dlimas,44.73,31/05/2026,Alimentação,Açougue,Nubank,,Nubank_2026-07-02.pdf
Mercado Mags,29.57,31/05/2026,Alimentação,Mercearia,Nubank,,Nubank_2026-07-02.pdf
Mp *Gsslegumes,5.00,01/06/2026,Alimentação,Hortifruti,Nubank,,Nubank_2026-07-02.pdf
Mp *Gsslegumes,5.00,01/06/2026,Alimentação,Hortifruti,Nubank,,Nubank_2026-07-02.pdf
Pauloeduardoda,10.00,01/06/2026,Alimentação,Hortifruti,Nubank,,Nubank_2026-07-02.pdf
Mercadolivre*Bravalumi,146.75,02/06/2026,Moradia,Manutenções,Nubank,,Nubank_2026-07-02.pdf
Alphatec - Parcela 1/2,165.00,03/06/2026,Moradia,Aquisições,Nubank,,Nubank_2026-07-02.pdf
Dl *Uberrides,17.96,03/06/2026,Transporte,Transp. Aplicativo,Nubank,,Nubank_2026-07-02.pdf
Dl *Uberrides,21.96,03/06/2026,Transporte,Transp. Aplicativo,Nubank,,Nubank_2026-07-02.pdf
Atacadao 732 As,395.77,05/06/2026,Alimentação,Mercearia,Nubank,,Nubank_2026-07-02.pdf
Zl Embalagens,86.78,05/06/2026,Confeitaria,Embalagens,Nubank,,Nubank_2026-07-02.pdf
Amazon BR III - NuPay,28.78,08/06/2026,Educação,Livros E Apostilas,Nubank,,Nubank_2026-07-02.pdf
Uber - NuPay,14.94,09/06/2026,Transporte,Transp. Aplicativo,Nubank,,Nubank_2026-07-02.pdf
Uber - NuPay,15.00,09/06/2026,Transporte,Transp. Aplicativo,Nubank,,Nubank_2026-07-02.pdf
Nagumo,47.88,11/06/2026,Alimentação,Mercearia,Nubank,,Nubank_2026-07-02.pdf
Padaria Daniella,13.10,11/06/2026,Alimentação,Padaria,Nubank,,Nubank_2026-07-02.pdf
Dl *Uberrides,42.95,12/06/2026,Transporte,Transp. Aplicativo,Nubank,,Nubank_2026-07-02.pdf
Mp *Ward,29.90,12/06/2026,Serviços,Outros,Nubank,,Nubank_2026-07-02.pdf
Atacadao 732 As,63.71,13/06/2026,Alimentação,Mercearia,Nubank,,Nubank_2026-07-02.pdf
Dl*99 Ride,31.84,16/06/2026,Transporte,Transp. Aplicativo,Nubank,,Nubank_2026-07-02.pdf
Dl *Uberrides,28.62,16/06/2026,Transporte,Transp. Aplicativo,Nubank,,Nubank_2026-07-02.pdf
Shopee *Tropicaljoiasv,14.00,17/06/2026,Moradia,Aquisições,Nubank,,Nubank_2026-07-02.pdf
Ifd*Ifood Club,7.95,21/06/2026,Alimentação,Delivery,Nubank,,Nubank_2026-07-02.pdf
Mp *Chicodocaldo,7.00,22/06/2026,Alimentação,Restaurante,Nubank,,Nubank_2026-07-02.pdf
Mp *Gsslegumes,10.00,22/06/2026,Alimentação,Hortifruti,Nubank,,Nubank_2026-07-02.pdf
Mp *Rogerioverdur,20.00,22/06/2026,Alimentação,Hortifruti,Nubank,,Nubank_2026-07-02.pdf
Pauloeduardoda,10.00,22/06/2026,Alimentação,Hortifruti,Nubank,,Nubank_2026-07-02.pdf
